WO#,Title,Status,Type,Silo/Lane,Stage,Owner,SpecPath,ResultPath,Notes
20,Hud Data Binding,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_20_hud_data_binding.md,WorkOrders/WORK_ORDER_20_hud_data_binding.RESULT.md,RESULT filed; no Status line in spec
21,Atb Scene Wiring,Spec,fix,,,,WorkOrders/WORK_ORDER_21_atb_scene_wiring.md,,no Status line in spec
22,Village Wall Gate Geometry,Spec,fix,,,,WorkOrders/WORK_ORDER_22_village_wall_gate_geometry.md,,no Status line in spec
23,Dungeon Interior Content,Spec,fix,,,,WorkOrders/WORK_ORDER_23_dungeon_interior_content.md,,no Status line in spec
24,Exterior World,Spec,fix,,,,WorkOrders/WORK_ORDER_24_exterior_world.md,,no Status line in spec
25,Audio Mixer Rebuild,Spec,fix,,,,WorkOrders/WORK_ORDER_25_audio_mixer_rebuild.md,,no Status line in spec
26,Larger City,Spec,feature,,,,WorkOrders/WORK_ORDER_26_larger_city.md,,spec Status: DESIGN / SPEC ONLY. **Owner-gated.** Nothing here is applied yet.
27,Enemy Spawn World,RESULT-filed,feature,,,,WorkOrders/WORK_ORDER_27_enemy_spawn_world.md,WorkOrders/WORK_ORDER_27_enemy_spawn_world.RESULT.md,RESULT filed; spec Status: DESIGN / SPEC ONLY. **Owner-gated.** Nothing here is applied yet.
28,Building Interact Tag Alignment,Ready,fix,,,,WorkOrders/WORK_ORDER_28_building_interact_tag_alignment.md,,spec Status: READY TO IMPLEMENT
29,Npc Pill Healer Cottage,Ready,fix,,,,WorkOrders/WORK_ORDER_29_npc_pill_healer_cottage.md,,spec Status: READY TO IMPLEMENT
30,Dungeon Portals Resize And Reposition,Ready,fix,,,,WorkOrders/WORK_ORDER_30_dungeon_portals_resize_and_reposition.md,,spec Status: READY TO IMPLEMENT
31,Build Menu Tower Dialog,Ready,feature,,,,WorkOrders/WORK_ORDER_31_build_menu_tower_dialog.md,,spec Status: READY TO IMPLEMENT
32,Hero Animation Rotation 90Deg,Ready,fix,,,,WorkOrders/WORK_ORDER_32_hero_animation_rotation_90deg.md,,spec Status: READY TO IMPLEMENT - single-line fix
33,Map Edge Boundary,Ready,fix,,,,WorkOrders/WORK_ORDER_33_map_edge_boundary.md,,spec Status: READY TO IMPLEMENT
